run_name,vectorizer,model,cv_val_f1_mean,cv_val_f1_std,cv_gap_f1,train_f1,test_f1,test_accuracy,test_roc_auc,holdout_gap_f1,overfitting_risk
tfidf_sublinear__linear_svc,tfidf_sublinear,linear_svc,0.9963577295061171,0.0006058403050654243,0.0034378544615681905,0.9997770014566819,0.9970477345539878,0.9970262233035956,0.999988495249423,0.0027292669026941496,False
tfidf_bigram__linear_svc,tfidf_bigram,linear_svc,0.9959860769906566,0.0007845295425241992,0.003790924369166948,0.9997026686089092,0.9965109590183492,0.9964855366315221,0.9999646007674554,0.0031917095905600323,False
tfidf_unigram__linear_svc,tfidf_unigram,linear_svc,0.995911742665313,0.0009325826168664483,0.003958174763234679,0.9998141678885258,0.9973108595232197,0.9972965666396323,0.999976990498846,0.0025033083653061006,False
hashing__linear_svc,hashing,linear_svc,0.9957630513659792,0.0004899813664403071,0.0041997821188990425,0.9999628335707229,0.9973143738511242,0.9972965666396323,0.9999814154029141,0.002648459719598706,False
bow_bigram__logistic_regression,bow_bigram,logistic_regression,0.9939417865599044,0.0007300041174740096,0.005575049958772671,0.9995911689391102,0.9925566806199346,0.9924303865909705,0.9999168118035202,0.007034488319175525,False
tfidf_sublinear__random_forest,tfidf_sublinear,random_forest,0.9937188810669764,0.0005561781487199625,0.006281118933023633,1.0,0.9949203367223289,0.9948634766153014,0.9998999971680613,0.005079663277671065,False
bow_bigram__random_forest,bow_bigram,random_forest,0.9937188703803768,0.0003406284445801109,0.006281129619623238,1.0,0.9959845882497812,0.9959448499594485,0.9998814125709754,0.0040154117502188,False
bow_unigram__logistic_regression,bow_unigram,logistic_regression,0.993607228638935,0.0008604668112907329,0.005956065584598047,0.9996655019147189,0.9922956594426787,0.9921600432549338,0.9999185817651474,0.0073698424720402,False
tfidf_bigram__random_forest,tfidf_bigram,random_forest,0.9935702497582517,0.0007202447645249684,0.0064297502417483,1.0,0.9962498665660232,0.9962151932954852,0.9999110594282317,0.0037501334339767878,False
bow_bigram__linear_svc,bow_bigram,linear_svc,0.9934585390130625,0.0005927106787232154,0.006532169464809168,1.0,0.9928180190485003,0.9927007299270073,0.9997937994704276,0.007181980951499689,False
bow_unigram__random_forest,bow_unigram,random_forest,0.9933100524175025,0.00042342128956963725,0.006689947582497524,1.0,0.9962498665660232,0.9962151932954852,0.999836278549481,0.0037501334339767878,False
tfidf_sublinear__logistic_regression,tfidf_sublinear,logistic_regression,0.9932729364247959,0.0010728411487696487,0.0027967159017069365,0.9961718594343169,0.9941295249075837,0.9940524466071912,0.9998787576285346,0.0020423345267331916,False
tfidf_unigram__random_forest,tfidf_unigram,random_forest,0.9931614189446998,0.0008978194717297462,0.006838581055300219,1.0,0.9951907630009083,0.9951338199513382,0.9998721202724326,0.004809236999091748,False
bow_unigram__linear_svc,bow_unigram,linear_svc,0.9931240127051165,0.0007799369286629068,0.006875987294883479,1.0,0.9917745626420753,0.9916193565828603,0.9998601730314488,0.008225437357924692,False
bow_bigram__sgd_log_loss,bow_bigram,sgd_log_loss,0.9929011214987762,0.0008663674912187589,0.006021047981582206,0.998662004215603,0.9925566806199346,0.9924303865909705,0.9999079619953839,0.006105323595668399,False
tfidf_bigram__logistic_regression,tfidf_bigram,logistic_regression,0.9926411056434137,0.001142607190970541,0.00322413279377054,0.99565152964869,0.994913811783056,0.9948634766153014,0.9998415884343628,0.0007377178656339245,False
bow_unigram__sgd_log_loss,bow_unigram,sgd_log_loss,0.992529356516676,0.0007373481794656489,0.006439272625673231,0.9987735036864089,0.9928180190485003,0.9927007299270073,0.9999265465924698,0.005955484637908626,False
